"","Lat","Lon"
"lat",40.778207,-73.961917
"lat1",40.7704808,-73.949913
"lat2",40.7694491,-73.951862
"lat3",40.7771725,-73.9519458
"lat4",40.7752956,-73.9562801
"lat5",40.7765692,-73.9448617
"lat6",40.7835139,-73.9471066
"lat7",40.7791072,-73.9483299
"lat8",40.7720617,-73.9472331
"lat9",40.6064568,-73.9745974
"lat10",40.7754759,-73.9557515
"lat11",40.775385,-73.944739
"lat12",40.7716962,-73.9518254
"lat13",40.7710037,-73.9592455
"lat14",40.7800477,-73.9505824
"lat15",40.7740301,-73.9545642
"lat16",40.7726606,-73.9555581
"lat17",40.7739837,-73.9581973
"lat18",40.7701262,-73.9574063
"lat19",40.7685688,-73.9551626
"lat20",40.7868014,-73.9548331
"lat21",40.7814746,-73.9503554
"lat22",40.765956,-73.958884
"lat23",40.7661227,-73.9527512
"lat24",40.7869698,-73.9497819
"lat25",40.7846858,-73.9531111
"lat26",40.7835139,-73.9471066
"lat27",40.7803316,-73.9547278
"lat28",40.780568,-73.947083
"lat29",40.778102,-73.9568158
"lat30",40.7789773,-73.949996
"lat31",40.7793935,-73.9510218
"lat32",40.7747919,-73.9558198
"lat33",40.778192,-73.955212
"lat34",40.7763184,-73.9596976
"lat35",40.7843999,-73.9510332
"lat36",40.7845689,-73.9518835
"lat37",40.7796321,-73.9513432
"lat38",40.7792217,-73.953203
"lat39",40.7713971,-73.9564892
"lat40",40.7631012,-73.957962
"lat41",40.7791484,-73.9563485
"lat42",40.7680668,-73.9606871
"lat43",40.7851883,-73.947968
"lat44",40.7755267,-73.9525831
"lat45",40.7640866,-73.9651703
"lat46",40.7767343,-73.9585641
"lat47",40.7724144,-73.9552914
"lat48",40.7799059,-73.948034
"lat49",40.783266,-73.9507404
"lat50",40.7783276,-73.9501722
"lat51",40.7753301,-73.9509299
"lat52",40.7729738,-73.9582662
"lat53",40.7666017,-73.960407
"lat54",40.7779881,-73.9549709
"lat55",40.7729738,-73.9582662
"lat56",40.781471,-73.9479336
"lat57",40.7628938,-73.9643911
"lat58",40.7845689,-73.9518835
"lat59",40.7782748,-73.9520123
"lat60",40.774621,-73.9484401
"lat61",40.7639625,-73.9601307
"lat62",40.7764018,-73.9500574
"lat63",40.7736341,-73.955834
"lat64",40.7785628,-73.9512744
"lat65",40.7787556,-73.9575194
"lat66",40.7736566,-73.9473021
"lat67",40.7681326,-73.954438
"lat68",40.772949,-73.9615832
"lat69",40.7729738,-73.9582662
"lat70",40.7653683,-73.9596962
"lat71",40.7810472,-73.9513046
"lat72",40.7646694,-73.9597924
"lat73",40.7812544,-73.9551546
"lat74",40.7746897,-73.9506314
"lat75",40.7798788,-73.9536102
"lat76",40.7781416,-73.9544957
"lat77",40.7774934,-73.9472469
"lat78",40.7726606,-73.9555581
"lat79",40.7867211,-73.9555564
"lat80",40.7715514,-73.9553497
"lat81",40.7762706,-73.9576239
"lat82",40.7684982,-73.9552085
"lat83",40.7732103,-73.9515264
"lat84",40.7814746,-73.9503554
"lat85",40.7293961,-73.9980108
"lat86",40.7633513,-73.9699703
"lat87",40.7707549,-73.9569377
"lat88",40.7864669,-73.9529386
"lat89",40.7811265,-73.952629
"lat90",40.774621,-73.9484401
"lat91",40.7798788,-73.9536102
"lat92",40.7819304,-73.9471644
"lat93",40.7804112,-73.9561419
"lat94",40.7710941,-73.9504082
"lat95",40.7737755,-73.9568087
"lat96",40.7724287,-73.9473481
"lat97",40.7781613,-73.9470028
"lat98",40.7743174,-73.9621727
"lat99",40.7719231,-73.955157
"lat100",40.780597,-73.956394
"lat101",40.7733189,-73.9583466
"lat102",40.762189,-73.958989
"lat103",40.7825515,-73.9545117
"lat104",40.7827852,-73.9454695
"lat105",40.7814746,-73.9503554
"lat106",40.7835139,-73.9471066
"lat107",40.7656645,-73.9572014
"lat108",40.7785628,-73.9512744
"lat109",40.7414922,-73.9854799
"lat110",40.7620172,-73.9653041
"lat111",40.7679583,-73.9533611
"lat112",40.7709198,-73.9511136
"lat113",40.7752956,-73.9562801
"lat114",40.7825826,-73.9510439
"lat115",40.7687022,-73.955691
"lat116",40.773503,-73.95277
"lat117",40.7803429,-73.947266
"lat118",40.7735417,-73.9491902
"lat119",40.7680668,-73.9606871
"lat120",40.7777159,-73.9469577
"lat121",40.7832274,-73.9530373
"lat122",40.7692518,-73.9594312
"lat123",40.7829679,-73.9506829
"lat124",40.7819304,-73.9471644
